premise,hypothesis
"In such a framework, the globular nerve always satisfies the Kan condition.",In no framework does the globular nerve satisfy the Kan condition.
"In such a framework, the globular nerve always satisfies the Kan condition.",The globular nerve only satisfies the Kan condition under very special assumptions.
We give a categorical discussion of such results.,We discuss a certain result mentioning categorical ideas.
We give a categorical discussion of such results.,"We discuss such results, but our discussion will not be categorical."
We give a categorical discussion of such results.,We also give a categorical discussion of other results.
Another is to make clear which parts of the proofs of such results are formal.,Parts of the proofs of such results are formal.
Another is to make clear which parts of the proofs of such results are formal.,The proofs of such results are completely informal.
Another is to make clear which parts of the proofs of such results are formal.,Parts of the proofs of such results are informal.
In this case we recover the notion of a linear bicategory.,We recover the notion of a linear bicategory.
In this case we recover the notion of a linear bicategory.,In this case the notion of a linear bicategory cannot be recovered.
In this case we recover the notion of a linear bicategory.,The notion of a linear bicategory has been recovered several times.
"The poly notions of functors, modules and their transformations are introduced as well.",There exists a poly notion of transformation of functors.
"The poly notions of functors, modules and their transformations are introduced as well.",Nobody has ever studied poly notions of functors and their transformations.
"The poly notions of functors, modules and their transformations are introduced as well.",The poly notions of rings are introduced as well.
In many applications of quasigroups isotopies and homotopies are more important than isomorphisms and homomorphisms.,Isotopies and homotopies are more important than isomorphisms and homomorphisms in some applications of quasigroups.
In many applications of quasigroups isotopies and homotopies are more important than isomorphisms and homomorphisms.,Isomorphisms and homomorphisms are always more important than isotopies and homotopies.
In many applications of quasigroups isotopies and homotopies are more important than isomorphisms and homomorphisms.,"In all applications of quasigroups, isotopies are more important than isomorphisms."
Those classes are natural examples of reflective subcategories defined by proper classes of morphisms.,Those classes are examples of certain reflective subcategories.
Those classes are natural examples of reflective subcategories defined by proper classes of morphisms.,It is an open question whether any examples of reflective subcategories defined by proper classes of morphisms exist.
Those classes are natural examples of reflective subcategories defined by proper classes of morphisms.,Those classes are natural examples of several important phenomena that were observed by Grothendieck in the 1970s.
The paper develops the previously proposed approach to constructing factorization systems in general categories.,The paper focuses on constructing factorization systems.
The paper develops the previously proposed approach to constructing factorization systems in general categories.,The paper relies on no previous results.
The paper develops the previously proposed approach to constructing factorization systems in general categories.,"The paper introduces the important notion of skew factorization system, which is helpful in constructing factorization systems in general categories."
The problem of relating a factorization system to a pointed endofunctor is considered.,There is a problem of relating a pointed endofunctor to a factorization system.
The problem of relating a factorization system to a pointed endofunctor is considered.,The problem of relating a factorization system to a pointed endofunctor is not discussed.
The problem of relating a factorization system to a pointed endofunctor is considered.,A pointed endofunctor cannot be related to a factorization system.
Some relevant examples in concrete categories are given.,Relevant examples in some categories are given.
Some relevant examples in concrete categories are given.,No relevant examples in any categories exist.
Some relevant examples in concrete categories are given.,Some relevant examples in the category of topological spaces are given.
We characterize semi-abelian monadic categories and their localizations.,We discuss some monadic categories.
We characterize semi-abelian monadic categories and their localizations.,Semi-abelian monadic categories lack localizations.
We characterize semi-abelian monadic categories and their localizations.,We characterize abelian monadic categories and their localizations.
"However, we also present a non-varietor satisfying Birkhoff's Variety Theorem.",There exists a non-varietor satisfying Birkhoff's Variety Theorem.
"However, we also present a non-varietor satisfying Birkhoff's Variety Theorem.",No non-varietors satisfy Birkhoff's Variety Theorem.
"However, we also present a non-varietor satisfying Birkhoff's Variety Theorem.",We present three non-varietors satisfying Birkhoff's Variety Theorem.
It turns out that many categorical properties are well behaved under enlargements.,Some categorical properties are well behaved under enlargements.
It turns out that many categorical properties are well behaved under enlargements.,No categorical properties are well behaved under enlargements.
It turns out that many categorical properties are well behaved under enlargements.,All categorical properties are well behaved under enlargements.
We describe a completion of gms's by Cauchy filters of formal balls.,There exists a completion of gms's by Cauchy filters of formal balls.
We describe a completion of gms's by Cauchy filters of formal balls.,No completion of gms's by Cauchy filters of formal balls exists.
We describe a completion of gms's by Cauchy filters of formal balls.,It is easy to describe a completion of gms's by Cauchy filters of formal balls.
This paper proposes a recursive definition of V-n-categories and their morphisms.,This paper is about a definition of V-n-categories.
This paper proposes a recursive definition of V-n-categories and their morphisms.,"This paper only discusses the definition of V-n-categories, not their morphisms, which will be introduced in a companion paper."
This paper proposes a recursive definition of V-n-categories and their morphisms.,This paper proposes a definition of V-categories.
Our result relies heavily on some unpublished work of A. Kock from 1989.,A. Kock did some unpublished work on the topic of this work.
Our result relies heavily on some unpublished work of A. Kock from 1989.,Our result relies only on the published  work of A. Kock.
Our result relies heavily on some unpublished work of A. Kock from 1989.,Our work relies on published and unpublished work of A. Kock.
The required simplicial approximation results for simplicial sets and their proofs are given in full.,Simplicial approximation results for simplicial sets are proved.
The required simplicial approximation results for simplicial sets and their proofs are given in full.,The required simplicial approximation results for simplicial sets and their proofs are barely sketched.
The required simplicial approximation results for simplicial sets and their proofs are given in full.,Simplicial approximation results for quasi-categories are omitted.
Subdivision behaves like a covering in the context of the techniques displayed here.,Subdivision can behave like a covering.
Subdivision behaves like a covering in the context of the techniques displayed here.,In the context of the techniques displayed here subdivision does not behave like a covering.
Subdivision behaves like a covering in the context of the techniques displayed here.,Subdivision and other techniques do not mix well.
"Several exact sequences, relative to a subfunctor of the identity functor, are obtained.",We obtain exact sequences relative to a subfunctor of the identity functor.
"Several exact sequences, relative to a subfunctor of the identity functor, are obtained.",No exact sequence relative to a subfunctor of the identity functor is obtained.
"Several exact sequences, relative to a subfunctor of the identity functor, are obtained.",An exact sequence relative to the product functor is known.
The resulting notion of centrality fits into Janelidze and Kelly's theory of central extensions.,Janelidze and Kelly's theory of central extensions has a resulting notion of centrality.
The resulting notion of centrality fits into Janelidze and Kelly's theory of central extensions.,Janelidze and Kelly's theory of central extensions has no notion of centrality.
The resulting notion of centrality fits into Janelidze and Kelly's theory of central extensions.,Janelidze and Kelly's theory of central extensions has a notion of acentrality.
The centre of a monoidal category is a braided monoidal category.,Braided monoidal categories can be centres of other categories.
The centre of a monoidal category is a braided monoidal category.,The centre of a monoidal category is a monoidal category with no braid structure.
The centre of a monoidal category is a braided monoidal category.,A braided monoidal category has a centre.
Monoidal categories are monoidal objects (or pseudomonoids) in the monoidal bicategory of categories.,The monoidal bicategory of categories has monoidal objects.
Monoidal categories are monoidal objects (or pseudomonoids) in the monoidal bicategory of categories.,There are no monoidal objects in the monoidal bicategory of categories.
Monoidal categories are monoidal objects (or pseudomonoids) in the monoidal bicategory of categories.,The monoidal bicategory of categories has  symmetric monoidal objects.
Some properties and sufficient conditions for existence of the construction are examined.,Sufficient conditions for existence of the construction are examined
Some properties and sufficient conditions for existence of the construction are examined.,The construction has no properties.
Some properties and sufficient conditions for existence of the construction are examined.,We show precisely when the construction exists.
"Having many corollaries, this was an extremely useful result.",This result has at least two corollaries.
"Having many corollaries, this was an extremely useful result.",The corollaries made this result useless.
"Having many corollaries, this was an extremely useful result.",This useful result had no precedents.
This paper introduces the notions of vector field and flow on a general differentiable stack.,This paper introduces the notion of vector field on a general differentiable stack.
This paper introduces the notions of vector field and flow on a general differentiable stack.,Vector fields on a differentiable stack are undefinable.
This paper introduces the notions of vector field and flow on a general differentiable stack.,This paper generalizes the notions of vector field and flow on a stack.
Both of them generalise the concept of algebra on a monad T.,The concept of algebra on a monad T is more special than both of them.
Both of them generalise the concept of algebra on a monad T.,Exactly one of them generalises the concept of algebra on a monad T.
Both of them generalise the concept of algebra on a monad T.,Both concepts are interesting.
We define eventually cyclic Boolean flows and the eventually cyclic spectrum of a Boolean flow.,We define the eventually cyclic spectrum of a Boolean flow and also eventually cyclic Boolean flows.
We define eventually cyclic Boolean flows and the eventually cyclic spectrum of a Boolean flow.,"Without defining them, we use the concepts of an eventually cyclic Boolean flow and the eventually cyclic spectrum of a Boolean flow."
We define eventually cyclic Boolean flows and the eventually cyclic spectrum of a Boolean flow.,The definition of the eventually cyclic spectrum of a Boolean flow uses the definition of eventually cyclic Boolean flows.
The axioms resemble those for monoidal Abelian categories with the addition of an involutive functor.,"The axioms are similar to those for monoidal Abelian categories, but we also make us of a functor which is involutive."
The axioms resemble those for monoidal Abelian categories with the addition of an involutive functor.,The axioms have a very different flavor from those for monoidal Abelian categories with involutive functors.
The axioms resemble those for monoidal Abelian categories with the addition of an involutive functor.,The axioms are the ones of monoidal Abelian categories.
Neither enrichment nor a complex base field is presupposed.,A complex base field is not presupposed.
Neither enrichment nor a complex base field is presupposed.,A complex base field is presupposed.
Neither enrichment nor a complex base field is presupposed.,The base field assumed is the real numbers.
A comparison to other approaches will be made in the introduction.,"In the introduction, we compare our work to that work in other papers."
A comparison to other approaches will be made in the introduction.,We decided to omit an introduction and instead discuss other approaches.
A comparison to other approaches will be made in the introduction.,Other approaches will be made in the introduction.
Distributive laws between monads (triples) were defined by Jon Beck in the 1960s.,Jon Beck defined distributive laws between triples.
Distributive laws between monads (triples) were defined by Jon Beck in the 1960s.,Jon Beck failed to define distributive laws between monads (triples) in the 1960s.
Distributive laws between monads (triples) were defined by Jon Beck in the 1960s.,The main point of Jon Beck's paper was to generalize distributive laws from arithmetic to monads (triples).
For such a class of spaces homotopy orthogonality implies enriched orthogonality.,For such a class of spaces enriched orthogonality is implied by homotopy orthogonality.
For such a class of spaces homotopy orthogonality implies enriched orthogonality.,For such a class of spaces homotopy orthogonality implies and also contradicts enriched orthogonality.
For such a class of spaces homotopy orthogonality implies enriched orthogonality.,For such a class of spaces enriched orthogonality implies homotopy orthogonality.
The state space of a machine admits the structure of time.,The state space of a machine has a temporal structure.
The state space of a machine admits the structure of time.,The state space of a machine is static.
The state space of a machine admits the structure of time.,"Like time itself, the state space of a machine has loops."
"In the general case, no such meaningful partition could exist.","In general case, no such meaningful partition exists."
"In the general case, no such meaningful partition could exist.",There is a meaningful partition in general.
"In the general case, no such meaningful partition could exist.","In special cases, the partition is very meaningful."
The present paper starts by supplying this last clause with a precise meaning.,The present paper supplies a precise meaning to this last clause.
The present paper starts by supplying this last clause with a precise meaning.,We will not be concerned with giving this last clause a precise meaning.
The present paper starts by supplying this last clause with a precise meaning.,The precise meaning of the last clause is given in the beginning and the end of this paper.
"Under condition (I), every multiplicative graph is an internal category.","Under condition (I), every multiplicative graph is a category."
"Under condition (I), every multiplicative graph is an internal category.","Under condition (I), there exists a multiplicative graph that is not a category."
"Under condition (I), every multiplicative graph is an internal category.","Under condition (I), every graph is an internal category."
We describe a simplified categorical approach to Galois descent theory.,We present an approach to Galois descent theory that has a categorical nature.
We describe a simplified categorical approach to Galois descent theory.,We will not be concerned with Galois descent theory.
We describe a simplified categorical approach to Galois descent theory.,"The previous categorical approach to Galois descent theory was correct, but convoluted."
Now coproduct preservation yields an approach to product measures.,Some approach to product measures results from coproduct preservation.
Now coproduct preservation yields an approach to product measures.,Product measures are not related to coproduct preservation.
Now coproduct preservation yields an approach to product measures.,Now the preservation of product measures yields coproduct preservatioN:
Then we present three applications of groupoidification.,We present at least two applications of groupoidification.
Then we present three applications of groupoidification.,Groupoidification is a purely theoretic concept that cannot be applied to anything.
Then we present three applications of groupoidification.,Two of the three applications that we present are well-known.
The second application is to Hecke algebras.,The second application involves some algebras.
The second application is to Hecke algebras.,Only one application exists.
The second application is to Hecke algebras.,Hall algebras can also be an application.
"The ``if"" directions fail for semi-abelian varieties.","The ``if"" directions cannot be proved for semi-abelian varieties."
"The ``if"" directions fail for semi-abelian varieties.","The ``if"" directions can be proved for semi-abelian varieties."
"The ``if"" directions fail for semi-abelian varieties.","The ``only if"" directions fail for semi-abelian varieties."
We compute some simple examples and explore the elementary properties of these invariants.,We will be concerned with some properties of certain invariants.
We compute some simple examples and explore the elementary properties of these invariants.,"We compute some simple examples of these invariants, but we will not be concerned with their properties."
We compute some simple examples and explore the elementary properties of these invariants.,We explore the elementary properties of these invariants and prove that no other invariants exist.
Symbolic dynamics is partly the study of walks in a directed graph.,The study of walks in a directed graph is related to symbolic dynamics.
Symbolic dynamics is partly the study of walks in a directed graph.,It is not known whether symbolic dynamics can be connected to graph theory.
Symbolic dynamics is partly the study of walks in a directed graph.,Symbolic dynamics is partly the study of strolls in a directed graph.
"To each graph we associate a basal graph, well defined up to isomorphism.",A basal graph can be associated with each graph.
"To each graph we associate a basal graph, well defined up to isomorphism.","While it is possible to assign a basal graph to each graph, this correspondence is never well defined."
"To each graph we associate a basal graph, well defined up to isomorphism.","To each graph we associate a basal graph, well defined up to a unique isomorphism."
"We combine two recent ideas: cartesian differential categories, and restriction categories.",The idea of restriction categories is not old.
"We combine two recent ideas: cartesian differential categories, and restriction categories.",The combination of restriction categories and cartesian differential categories is impossible.
"We combine two recent ideas: cartesian differential categories, and restriction categories.",Cartesian differential categories and restriction categories re concepts in categorical logic.
The category of Set-valued presheaves on a small category B is a topos.,The category of Set-valued presheaves on a small category C is a topos.
The category of Set-valued presheaves on a small category B is a topos.,There exists a small category C such that the category of Set-valued presheaves on C is not a topos.
The category of Set-valued presheaves on a small category B is a topos.,The category of Set-valued presheaves on a category B is a topos.
A flow on a compact Hausdorff space is an automorphism.,A flow on a compact Hausdorff space is an endomorphism.
A flow on a compact Hausdorff space is an automorphism.,No flow on a compact Hausdorff space is an automorphism.
A flow on a compact Hausdorff space is an automorphism.,A flow on a Hausdorff space is an automorphism
Vertical arrows give rise to modules between representables.,Some arrows give rise to modules between representables.
Vertical arrows give rise to modules between representables.,Modules between representables have no interaction with vertical arrows.
Vertical arrows give rise to modules between representables.,Horizontal arrows give rise to modules between representables.
Various concerns suggest looking for internal co-categories in categories with strong logical structure.,We looked for internal co-categories with strong logical structure.
Various concerns suggest looking for internal co-categories in categories with strong logical structure.,We abandon the idea of looking for internal co-categories in categories with a strong logical structure.
Various concerns suggest looking for internal co-categories in categories with strong logical structure.,We suggest looking for internal co-categories.
We give a new proof of the fact that every topos is adhesive.,We give a proof that each topos is adhesive.
We give a new proof of the fact that every topos is adhesive.,We give a new proof that every topos is non-adhesive.
We give a new proof of the fact that every topos is adhesive.,The old proof of the fact that every topos is adhesive had gaps.
"We compare various different definitions of ""the category of smooth objects"".","We have several definitions of ""the category of smooth objects""."
"We compare various different definitions of ""the category of smooth objects"".","No one has given a definition of ""the category of smooth objects""."
"We compare various different definitions of ""the category of smooth objects"".","No one has given a definition of ""the bicategory of smooth objects""."
We indicate also some possible novel geometric interest in such algebras.,We suggest some novel geometric interest in such algebras.
We indicate also some possible novel geometric interest in such algebras.,We fail to see any possible geometric interest in such algebras.
We indicate also some possible novel geometric interest in such algebras.,We suggest some novel geometric interest in such coalgebras.
"In this paper we will give a new, elementary proof of this result.",We give a proof of this result.
"In this paper we will give a new, elementary proof of this result.","In this paper we give the old, original proof of this result."
"In this paper we will give a new, elementary proof of this result.",In this paper we will give a number=theoretic proof of this result.
We clarify details of that work.,We provide details of that work.
We clarify details of that work.,That work cannot be clarified.
We clarify details of that work.,We give details of a special case of that work.
Our main conceptual tool is a monad on the category of grouped toposes.,We use as a conceptual tool a monad on the category of grouped toposes.
Our main conceptual tool is a monad on the category of grouped toposes.,We do not have a conceptual tool for this problem.
Our main conceptual tool is a monad on the category of grouped toposes.,We present a topos-theoretic investigation of isotropy and the Clifford sequence.
We also discuss some new examples and results motivated by this characterization.,We discuss this characterization.
We also discuss some new examples and results motivated by this characterization.,We refrain from discussing examples and results motivated by this characterization.
We also discuss some new examples and results motivated by this characterization.,We also discuss new functors motivated by this characterization.
It also gives an easy way to calculate the sources and targets of opetopes.,This gives a way to calculate the sources of opetopes.
It also gives an easy way to calculate the sources and targets of opetopes,This gives a hard way to calculate the sources and targets of opetopes.
It also gives an easy way to calculate the sources and targets of opetopes,It also gives an easy way to calculate the sources and targets of polytopes.
